"ID","category","title","country","price","rating","description","vintage","region","varietal","url"
"135236","Red","Château Cos d'Estournel 2013 Barrel Sample  (Saint-Estèphe)","France",NULL,"95","94–96. Barrel Sample. A powerful and intense wine, this is firmly tannic. It also shows spice, acidity and black currant fruit. The minerality is essential to give the wine a fine texture. It is for long-term aging.","2013","Bordeaux","Bordeaux-style Red Blend","https://www.winemag.com/buying-guide/chateau-cos-destournel-2013-barrel-sample-red-saint-estephe/"
"135237","Red","Château Haut-Brion 2013 Barrel Sample  (Pessac-Léognan)","France",NULL,"95","94–96. Barrel Sample. This is a concentrated wine, with a complex structure as well as a fine texture. Dark berry fruits give freshness, contrasting the dense structure of this solid wine that has been teased out of a meager vintage. This wine will age well.","2013","Bordeaux","Bordeaux-style Red Blend","https://www.winemag.com/buying-guide/chateau-haut-brion-2013-barrel-sample-red-pessac-leognan/"
"135238","Red","Château Figeac 2013 Barrel Sample  (Saint-Émilion)","France",NULL,"95","94–96. Barrel Sample. Here's a solidly tannic wine, with a smoky wood character that lies over the juicy fruit layers. It will need time to coalesce, but it shows the potential to be able to age well.","2013","Bordeaux","Bordeaux-style Red Blend","https://www.winemag.com/buying-guide/chateau-figeac-2013-barrel-sample-red-saint-emilion/"
"135239","Red","Hall 2010 Exzellenz Sacrashe Vineyard Cabernet Sauvignon (Rutherford)","US","200","95","Made from 100% Cab, the grapes once again show what the vineyard, in the hills east of the Silverado Trail, can do. The French oak was 90% new, which would swamp a lesser wine, but not this one. It's rich, full and concentrated, with excellent structure and balance. Drink now, after careful decanting, and through 2020.","2010","California","Cabernet Sauvignon","https://www.winemag.com/buying-guide/hall-2010-exzellenz-sacrashe-vineyard-cabernet-sauvignon-napa-rutherford/"
"135240","White","Grgich Hills 2012 Essence Estate Grown Sauvignon Blanc (Napa Valley)","US","50","95","The “Essence” in the designation refers to the wine's sources, which are selected blocks from the winery's vineyards in the southern part of Napa. The wine is absolutely dry, mouthwatering in acidity, and vastly complex. There's a touch of smoky, vanilla-scented French oak, but the fruit flavors star. They suggest stone-driven minerals, Meyer lemons, limes, white peaches, pink grapefruits and a savory, umami-rich note of figs. The wine is ideal now and should evolve for many years.","2012","California","Sauvignon Blanc","https://www.winemag.com/buying-guide/grgich-hills-2012-essence-estate-grown-sauvignon-blanc-napa-valley/"
"135241","White","Henri Bourgeois 2011 Sancerre Jadis  (Sancerre)","France","50","95","The wine abounds with intensity, richness and power as well as mouthwatering freshness. It is very ageworthy and certainly the most impressive wine from Henri Bourgeois, a tour de force of Sauvignon Blanc.","2011","Loire Valley","Sauvignon Blanc","https://www.winemag.com/buying-guide/henri-bourgeois-2011-sancerre-jadis-sauvignon-blanc-sancerre/"
"135242","Red","Château Margaux 2013 Barrel Sample  (Margaux)","France",NULL,"95","94–96. Barrel Sample. For the first time, there is no Merlot in this wine. Cabernet Sauvignon is complemented by small amounts of Cabernet Franc and Petit Verdot. It's a lovely, aromatic wine, on the delicate side, with sustained black currant fruits and gentle tannins. The aftertaste is deliciously fruity and fine.","2013","Bordeaux","Bordeaux-style Red Blend","https://www.winemag.com/buying-guide/chateau-margaux-2013-barrel-sample-red-margaux/"
"135243","White","Château La Mission Haut-Brion 2013 Barrel Sample  (Pessac-Léognan)","France",NULL,"95","94–96. Barrel Sample. This is a richly styled white, with great acidity as well as apricot and white peach fruits. The wine is shot through with grapefruit, lemon and a steely mineral texture.","2013","Bordeaux","Bordeaux-style White Blend","https://www.winemag.com/buying-guide/chateau-mission-haut-brion-2013-barrel-sample-white-pessac-leognan/"
"135244","Red","Château Angélus 2013 Barrel Sample  (Saint-Émilion)","France",NULL,"95","94–96. Barrel Sample. This is a very fine wine, richly textured and concentrated. The acidity is forward, although it's roundly ensconced and cushioned by the rich, ripe fruitiness.","2013","Bordeaux","Bordeaux-style Red Blend","https://www.winemag.com/buying-guide/chateau-angelus-2013-barrel-sample-red-saint-emilion/"
"135245","Red","Vieux Château Mazerat 2013 Barrel Sample  (Saint-Émilion)","France",NULL,"95","94–96. Barrel Sample. Big, bold and ripe, this is a full wine that has a full structure and dense tannins. Dark and powerful, with dark chocolate and blackberry fruit flavors, it is balanced but asking for serious aging.","2013","Bordeaux","Bordeaux-style Red Blend","https://www.winemag.com/buying-guide/vieux-chateau-mazerat-2013-barrel-sample-red-saint-emilion/"
"135246","Red","Penfolds 2009 Bin 707 Cabernet Sauvignon (South Australia)","Australia","200","95","Penfolds Bin 707 has leapt in quality over the past few vintages. The 2009 features hints of mint, cedar and vanilla accenting ripe cassis fruit. It's full bodied and rich, velvety without being overly soft, with a dusty tannic structure that should support it over two decades or more of aging. Drink 2015–2030+.","2009","South Australia","Cabernet Sauvignon","https://www.winemag.com/buying-guide/penfolds-2009-bin-707-cabernet-sauvignon-south/"
