"varietal","category","average_price_varietal"
"Sercial","Fortified","               172.50"
"Sercial","Port/Sherry","                21.00"
"Semillon-Sauvignon Blanc","Dessert","                55.88"
"Semillon-Sauvignon Blanc","White","                20.77"
"Semillon-Chardonnay","Red","                 9.00"
"Semillon-Chardonnay","White","                 9.43"
"Sémillon","Dessert","                27.66"
"Sémillon","Red","                19.00"
"Sémillon","Sparkling","                20.00"
"Sémillon","White","                20.83"
"Segalin","Red","                10.00"
"Sciaccerellu","Red","                45.50"
"Schwartzriesling","Red","                25.00"
"Schwartzriesling","White",NULL
"Schioppettino","Red","                30.67"
"Schiava","Red","                18.42"
"Scheurebe","Dessert","                67.86"
"Scheurebe","Rose","                13.00"
"Scheurebe","Sparkling","                23.00"
"Scheurebe","White","                23.81"
"Savatiano","White","                13.78"
"Savagnin","White","                45.11"
"Sauvignonasse","White","                25.00"
"Sauvignon Musqué","Dessert","                50.00"
"Sauvignon Musqué","White","                21.50"
"Sauvignon Gris","White","                21.16"
"Sauvignon Blanc-Verdejo","White","                12.00"
"Sauvignon Blanc-Semillon","Dessert","                42.57"
"Sauvignon Blanc-Semillon","Red","                23.00"
"Sauvignon Blanc-Semillon","White","                22.02"
"Sauvignon Blanc-Sauvignon Gris","White","                45.00"
"Sauvignon Blanc-Chenin Blanc","White","                15.83"
"Sauvignon Blanc-Chardonnay","Dessert","                34.00"
"Sauvignon Blanc-Chardonnay","White","                17.20"
"Sauvignon Blanc-Assyrtiko","White","                20.00"
"Sauvignon Blanc","Dessert","                33.12"
"Sauvignon Blanc","Red","                16.26"
"Sauvignon Blanc","Rose","                10.00"
"Sauvignon Blanc","Sparkling","                20.00"
"Sauvignon Blanc","White","                19.30"
"Sauvignon-Sémillon","White","                12.00"
"Sauvignon","Dessert","                50.67"
"Sauvignon","Red","                17.00"
"Sauvignon","Sparkling","                15.00"
"Sauvignon","White","                25.56"
"Sarba","White","                10.00"
"Saperavi-Merlot","Red","                17.50"
"Saperavi","Red","                20.58"
"Sangiovese Grosso","Red","                67.71"
"Sangiovese Grosso","Rose",NULL
"Sangiovese Cabernet","Red","                46.33"
"Sangiovese-Syrah","Red","                48.67"
"Sangiovese-Cabernet Sauvignon","Red","                33.38"
"Sangiovese","Dessert","                44.00"
"Sangiovese","Red","                42.70"
"Sangiovese","Rose","                15.62"
"Sangiovese","Sparkling","                26.80"
"Sangiovese","White","                15.83"
