ID,alcohol,category,country,description,designation,price,rating,region,subregion,subsubregion,title,url,varietal,vintage,winery,Lat,Lng
57,14.2,Red,US,"The reserve is two-thirds Pommard and one-third heirloom clone, fermented with native yeast and aged 18 months in 75% new oak. Deeply richly fruity, it's a ripe bowl of blackberries in a bottle, with a lush finish loaded with mocha and toast. Irrepressibly delicious, yet built to age nicely over the next decade or so.",Reserve,70.0,94.0,Oregon,Willamette Valley,Dundee Hills,Cramoisi 2016 Reserve Pinot Noir (Dundee Hills),https://www.winemag.com/buying-guide/cramoisi-2016-reserve-pinot-noir-dundee-hills-308067/,Pinot Noir,2016.0,Cramoisi,43.8041334,-120.55420120000001
58,14.5,Red,France,"Tasted five years after bottling, this wine still shows a core of dried strawberry and cherry flavor, but it's shaded by umami tones of balsamic, leather and mushroom. It's intoxicatingly rich on the palate but balanced freshly, edged by delicate tea tannins. This complex wine shows its savory side elegantly. It drinks well now but should hold till 2024.",Cuvée Laurence,115.0,95.0,Rhône Valley,Châteauneuf-du-Pape,,Domaine du Pegau 2013 Cuvée Laurence Red (Châteauneuf-du-Pape),https://www.winemag.com/buying-guide/domaine-du-pegau-2013-cuvee-laurence-red-chateauneuf-du-pape/,Rhône-style Red Blend,2013.0,Domaine du Pegau,45.1695797,5.4502821
59,13.7,Red,US,"Beautifully plump aromas of black plum, violet, rose and baked fennel show on the nose of this bottling. Soft and full on the palate, it offers plenty of fruit surrounding the earthy core, with flavors of wild cherry, cherry pit, Alpine strawberry, loam and herb.",Vista Verde Vineyard,59.0,95.0,California,Central Coast,San Benito County,Williams Selyem 2016 Vista Verde Vineyard Pinot Noir (San Benito County),https://www.winemag.com/buying-guide/williams-selyem-2016-vista-verde-vineyard-pinot-noir-san-benito-county/,Pinot Noir,2016.0,Williams Selyem,36.778261,-119.4179324
60,14.5,Red,US,"This wine is pretty, floral and compact in red fruit, the texture soft and billowy on the palate. Rich and full bodied, it has additional complexity from small amounts of Cabernet Franc, Merlot and Petit Verdot. Integrated beautifully, it shows balance and power in equal measure.",,102.0,95.0,California,Napa,Napa Valley,Alpha Omega 2015 Cabernet Sauvignon (Napa Valley),https://www.winemag.com/buying-guide/alpha-omega-2015-cabernet-sauvignon-napa-valley/,Cabernet Sauvignon,2015.0,Alpha Omega,36.778261,-119.4179324
61,13.5,Red,France,"Lavender and violet perfume extends from nose to finish in this aromatic Syrah. Black-plum and cherry flavors are juicy yet spry, balanced by crisp acidity and tangs of crushed granite. Ripe, fine tannins accentuate its supple style. Lovely already it should gain complexity well through 2030 and hold further.",Eminence,88.0,95.0,Rhône Valley,Côte Rôtie,,Rémi Niero 2015 Eminence  (Côte Rôtie),https://www.winemag.com/buying-guide/remi-niero-2015-eminence-cote-rotie/,Rhône-style Red Blend,2015.0,Rémi Niero,45.1695797,5.4502821
62,13.3,Red,US,"This is a phenomenal start for the small-batch side project by Stephen Searle, whose main job is running Jaffurs Winery. Intense aromas of Bing cherry jelly, crushed rocks and dried sage show on the nose, while the palate combines wild berry and minty flavors with a strong chalky grip, proving both luxurious and refreshing.",Duvarita Vineyard,46.0,95.0,California,Central Coast,Santa Barbara County,Leitmotif 2016 Duvarita Vineyard Pinot Noir (Santa Barbara County),https://www.winemag.com/buying-guide/leitmotif-2016-duvarita-vineyard-pinot-noir-santa-barbara-county/,Pinot Noir,2016.0,Leitmotif,36.778261,-119.4179324
63,16.5,Red,Italy,"Aromas evoking fruitcake, red-plum preserve, exotic spice and French oak take center stage. The full-bodied, generous palate also boasts finesse and focus, delivering cherry marinated in spirits, prune, crushed alpine herb, ground pepper and clove. Fine-grained, velvety tannins provide the backbone while fresh acidity lifts the rich flavors. Drink 2021–2031.",Fieramonte Riserva,250.0,95.0,Veneto,Amarone della Valpolicella Classico,,Allegrini 2011 Fieramonte Riserva  (Amarone della Valpolicella Classico),https://www.winemag.com/buying-guide/allegrini-2011-fieramonte-riserva-amarone-della-valpolicella-classico-307644/,Red Blend,2011.0,Allegrini,45.4414662,12.3152595
64,13.5,Red,US,"Great ripeness comes with great balance in this fruity, expressive and firm-textured wine. It is full in body but not flabby due to sinewy tannins and persistent acidity. Aromas and flavors run from cinnamon to black cherry to rhubarb, as hints of nutmeg and vanilla show a deft touch of oak. Best from 2022.",Weir Vineyard,62.0,95.0,California,North Coast,Yorkville Highlands,Williams Selyem 2016 Weir Vineyard Pinot Noir (Yorkville Highlands),https://www.winemag.com/buying-guide/williams-selyem-2016-weir-vineyard-pinot-noir-yorkville-highlands/,Pinot Noir,2016.0,Williams Selyem,36.778261,-119.4179324
65,13.5,Red,France,"Perfumed notes of violet and wild thyme introduce the penetrating black-cherry and plum flavors of this wine. It's bristling and vibrant, darkened by shades of bramble and garrigue. Concentrated and held upright by fine, firm tannins, it's already lovely but should improve through 2035 and hold further.",Seigneur De Maugiron,112.0,95.0,Rhône Valley,Côte Rôtie,,Delas Frères 2016 Seigneur De Maugiron  (Côte Rôtie),https://www.winemag.com/buying-guide/delas-freres-2016-seigneur-de-maugiron-cote-rotie/,Rhône-style Red Blend,2016.0,Delas Frères,45.1695797,5.4502821
66,14.4,White,US,"This has gorgeous aromas of ginger and crushed rock, a stony mineral component that's irresistible and memorable. Balanced in richness, it sings in baked pear and honeysuckle, finding a touch of restraint within a medium-bodied frame of welcome decadence.",Gap's Crown,58.0,95.0,California,Sonoma,Sonoma Coast,Black Kite 2016 Gap's Crown Chardonnay (Sonoma Coast),https://www.winemag.com/buying-guide/black-kite-2016-gaps-crown-chardonnay-sonoma-coast/,Chardonnay,2016.0,Black Kite,36.778261,-119.4179324
